Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
Stab3_PC Config_CA7 Large Deductible: Vehicle Level Liability Deductible should be set to ‘No Deductible’ and hidden when ‘Large Deductible’ or ‘Large Deductible and Retro’ is added at Line Level,XXX-33195,211505,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Prod| GWPC Stage to edw balance check failed on 07/24,BBB-7951,211399,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
[DbDrop] - Stab3_PC_CU_Exclusion - Exclusion - Explosion Collapse And Underground Property Damage Hazard (Specified Operations) coverterm location is coming twice,XXX-33171,211394,Blocked,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - State - The column CoverageEffectiveDate is not populated as expected,AAA-5841,211388,Done,AAA,AAA,Medium,Williams,,,Coding
3.1 P&C | ODS Detail Coverage Table - AUTO - State - The column PremiumAmount is Incorrectly populated,AAA-5840,211387,Done,AAA,AAA,Medium,Williams,,,Coding
Data Fix - Activities - Update AssignedGroup For Converted Claims,BBB-7950,211386,New Item,BBB,EDW Production Operations,Low,David,,,Coding
Stab3-PC-IM-Motor truck cargo- Additional coverages-Trailer Catastrophe Limit should be defaulted to Trailer Interchange Coverage  Agreement but currently blank,XXX-33170,211383,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
PA-015 Audit Summary does not include Cancellation short-rate penalty line item/charges,EEE-1773,211382,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
Stab3-PC-IM-Motor truck cargo- Additional coverages tab-  Refrigeration Breakdown Coverage- Property In Vehicle Coverage Limit  and catastrophe limit should default to  Property in Vehicles Limit which is present at the Part level  but currently blank,XXX-33169,211381,Ready for Dev,XXX,ANIC P&C Migration,Medium,Andrea,PolicyCenter,,Coding
"Stab3-PC-IM-Motor truck cargo- Supplemental coverage- Coverage name is displayed as ""Your Personal Property"" instead of  ""Personal property coverage""",XXX-33168,211380,Done,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
Stab3-PC-IM-Motor truck cargo-Terminal Limit should default based on Property in Vehicle limit but currently it is blank,XXX-33167,211379,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
"Stab3-PC-IM-Riggers Coverage-Manual Premium tab- ""Rating based on"" field dropdown values are not displayed as per requirement",XXX-33166,211377,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
UAT1 - Property - Geographic Wind Territory for MT not Available,XXX-33165,211375,To Do,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
UAT1 - Property & Auto Manuscript Form # and Form Name Updates,XXX-33164,211374,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
LTI - Increased Limits of Liability Charge for WARP USL&H and MEL quotes should not be generating ,EEE-1772,211373,In Dev,EEE,PolicyCenter,Critical,Peter,PolicyCenter,,Coding
UAT1 - 037 Manuscript Ends - Manuscript Fields Not Passing to Payload,XXX-33163,211372,Blocked,XXX,ANIC P&C Migration,High,Williams,Forms Mapping,,Coding
UAT1 - 037 Manuscript Ends - Multiple Forms Need to Print for Multiple Manuscripts,XXX-33162,211371,To Do,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
NonEDW - BusinessGroup is missing on some submissions in the AL table Stage.NonEDW_CP_3YearSubmissions,BBB-7947,211349,Development,BBB,EDW Production Operations,Medium,John,,,Coding
UAT1 - IM 7966 Interior Water Damage Limitation - Wrong form name/description on UI,XXX-33141,211346,Ready for Dev,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
UAT1 - IM 7035 Equipment Leased or Rented TO Others Reporting Conditions information does not exist in Manual Premium tab (Day 2 -Backlog),XXX-33140,211345,To Do,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
Stab3_PC_CU_Renewal_Auto Renew Indicator value should be Manually Renewed,XXX-33139,211344,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_PC_CU_Renewal- Renewal activity is not triggering,XXX-33138,211343,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_PC_CU_Auto Renew_Extended Reporting Period Endorsement For Employee Benefits Liability Coverage should not be available on renewal,XXX-33137,211341,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Edition number is not as per requirement for GLBAIIPPA0121 & ACORD 50,XXX-33136,211340,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_XXX-33134-CPP_CP+Crime +GL-cancellation and reinstatement interline -form not triggering at doc screen,XXX-33135,211339,Cancelled,XXX,ANIC P&C Migration,High,Martin,Integrations,,Not a Defect
3.1 P&C | ODS - Composite Groups Missing Vehicle Coverages,AAA-5836,211337,New Item,AAA,AAA,Medium,Martin,,,Coding
3.1 P&C | Datatype Defect AAA.dbo.CrimeCoverage CoverageCode should be varchar(250),AAA-5534,210733,New Item,AAA,AAA,Medium,Williams,,,Coding
Stab 3_XXX-31551-CPP_CP+Crime +GL-At policy change  & PC-001-view button not displayed and cancellation & reinsatement packet-clicking view getting error ,XXX-33132,209983,Done,XXX,ANIC P&C Migration,High,Martin,Forms Mapping,,Coding
 stab 3_XXX-31551-CPP_CP+Crime +GL-At policy change  -quote screen-clicking Cost Change Detail-getting render exception ,XXX-33131,209478,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Prod | GL daily paid loss error - 28 records errored out on 7/22,BBB-7944,209477,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
Stab3_PC_MEL_NB - base state is getting populated in state coverage screen even if the user is not adding it in location screen - OK state,XXX-33130,209476,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
3.1 P&C | ODS DetailCoverage Table - Policies missing ODS_DetailCoverage  table,AAA-5282,209475,Ready For Test,AAA,AAA,Medium,David,,,Coding
stab 3_XXX-31551-CPP_CP+Crime +GL-At policy change  -CP04391090			Functional Personal Property Valuation (Other Than Stock) -not inferred ,XXX-33129,209474,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab3_BC MEL CA Lob_ Move Policy from one Invoice stream to other Issue,XXX-33128,209473,Ready for Dev,XXX,ANIC P&C Migration,Very High,David,BillingCenter,,Coding
Stab3_Rating_General Liability_Renewal_Cyber Suite Extended Reporting Period and EPL Extended Reporting Period is removed during renewal,XXX-33098,209431,Cancelled,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
PC Config - CP - Manual Premium  is not default to 0 for Equipment Breakdown Coverage on CP line,XXX-33097,209422,In UAT,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_PC_IM-Interim Reporting- Details screen is blank,XXX-33096,209420,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
"Stab 3_CC_CACP_TotalLoss_""Vehicle Declared Total Loss"" activity is not triggered for Insured vehicle with Total Loss as 'Yes'",XXX-33086,209397,Ready for QA,XXX,ANIC P&C Migration,High,John,ClaimCenter,,Data
Stab3_PC_MEL_NB - Deposit override % field is missing from payment screen - MT state,XXX-33084,209394,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Stab3-PC-IM-Contractors Equipment- Getting invalid quote on Rewrite full term,XXX-33082,209392,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
ODS Risk PC - IM - UAR Number - Missing records from Risk PC table,AAA-5257,209386,Analysis,AAA,AAA,Medium,Martin,,,Coding
Stab3_Integ_CC_Claim creation is failed for ECL policies from ODS Table,XXX-33078,209385,Requirements,XXX,ANIC P&C Migration,Critical,David,ClaimCenter,,Coding
Stab3_PC Config_COP_NB_Manuscript (Reason for form) field is a non- mandatory field,XXX-33077,209384,Cancelled,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab3_PC Config_COP_NB_Expiration Date field is not coming as Read only field when Term Type is Annual on Policy Info Screen,XXX-33076,209382,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
PC Config - CP - Description for Building Glass is not mandatory when coverage is selected as Building Property Other than Glass or Building Glass and Building Property Other than Glass  on Scheduled Building Property Tenant's Policy,XXX-33075,209381,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_PC_CP_Policy Change_Unable to update the Inception date of coverage either on Blanket screen or on location for Flood Coverage& blocking quote,XXX-33067,209371,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_PC_MEL_FinalAudit/policyChange - while applying all changes in preemption render exception is coming - WA state,XXX-33064,209368,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Prod| GWCC - Duplicate records in ClaimSourceControlAmounts tables on 07/23,BBB-7943,209367,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STDoc - The column PremiumAmount is Incorrectly populated,AAA-5256,209365,Done,AAA,AAA,Medium,Williams,,,Coding
Jasper CE - Global Issue for Prompt look and fill,YYY-16425,209362,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Stab3_PC_WC_NewSubmission_Industry Code should not display on WC LOB,XXX-33063,209358,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Jasper CE - Width of footer in customer engage is incorrect.,YYY-16424,209353,Done,YYY,ANIC WC Migration,Low,Williams,Jasper,,Coding
3.1 P&C | CertificationLayer:ODS RiskPC Table - Clarification for PolicyEffectiveDate column data in RiskPC table ,AAA-5255,209352,Done,AAA,AAA,Medium,David,,,Coding
Stab3_Rating_General Liability_Policy Change_Apply Mod is displayed twice and ApplySize Mod is displayed 4 times in CyberSuite Coverage during Policy change,XXX-33062,209340,To Do,XXX,ANIC P&C Migration,Low,Peter,Rating,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STDoc - Records got dropped,AAA-5251,209337,Done,AAA,AAA,Medium,Williams,,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STDoc - The column CoverageEffectiveDate is populated Incorrectly,AAA-5249,209335,Done,AAA,AAA,Medium,Williams,,,Coding
Stab3_CA7 Mid-Term policy Change: Getting Invalid Quote for Commercial Auto during Midterm Policy Change.,XXX-33061,209334,Cancelled,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
Stab3_CA7 Policy Change_Commercial Auto Screen: Line Level Liability Coverage Type & Liability Limit should be non-editable during mid-Term Policy Change i.e. when Policy Change Effective Date != Policy Effective Date Date,XXX-33060,209333,Ready for Dev,XXX,ANIC P&C Migration,Low,David,PolicyCenter,,Coding
Stab3_CA7 PC Config_Policy Info: FEIN field should be Required for Auto during Issuance (Optional for Other lines),XXX-33059,209332,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_PC_CP_NewSubmission_Protect Class down dropdown is not displayed as per requirement,XXX-33058,209331,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Not a Defect
Stab3_PC_CP_NewSubmission_Reorder Experian button not returning value when PNI & address is changed on Policy Info,XXX-33057,209330,Requirements,XXX,ANIC P&C Migration,Medium,John,PolicyCenter,,Coding
Stab3-PC-IM-Electronic Data Processing-Schedule of Coverage Blanket limit- Software limit cov terms defaulting is not as per requirement ,XXX-33056,209329,Requirements,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
QA : ODS-DetailCoverageCrime : Identified Extra Records in DetailCoverageCrime,AAA-5247,209327,Done,AAA,AAA,Medium,Peter,,,Coding
3.1 P&C | Landing GLCoverageCodeLookup Table - CoverageCode-ClassCode missing  in Landing GLCoverageCodeLookup tables,AAA-5246,209326,New Item,AAA,AAA,Medium,David,,,Coding
Stab3_XXX-31550_ stab 3-CPP_CP+Crime +GL-Commercial property-Property Coverage Enhancement Applies?'  : Default to No when NAICS starts with 721 or 722&Property Coverage Enhancement - Hospitality Applies? : Default to Yes-not working,XXX-33055,209324,In Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
QA : ODS-DetailCoverage Table- AU : STFreeform Flow : CoverageExpirationDate populated incorrect values,AAA-5244,209323,Done,AAA,AAA,Medium,Peter,,,Coding
QA : ODS-DetailCoverage Table- AU : STFreeform Flow : PremiumAmount populated incorrect values,AAA-5243,209321,Done,AAA,AAA,Medium,Peter,,,Coding
INTPRIM - Anic - Stage to EDW ANIC Premium Inc Job Fails,BBB-7928,209320,Done,BBB,EDW Production Operations,Medium,David,,,Coding
WCSTAT - Logic changes for WCSTAT Data Manager process,BBB-7927,209319,Done,BBB,EDW Production Operations,High,John,,,Coding
Balance to minimum premium for WARP not charging correctly. Below is how it should charge.,EEE-1771,209313,Cancelled,EEE,PolicyCenter,Critical,Williams,PolicyCenter,,Coding
UAT1 - Wrong table/headers for Equipment Breakdown and Testing Schedule List of Scheduled Items ,XXX-33053,209312,Done,XXX,ANIC P&C Migration,Very High,Martin,PolicyCenter,,Coding
UAT1 - checkboxes for covered property not available for Earthquake Coverage (CO 1062),XXX-33052,209303,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
New Activity to track accounts with extended NOC Endorsements and to verify if payments have been received for them (not working),ZZZ-1305,209298,Cancelled,ZZZ,BillingCenter,Medium,Williams,,,Coding
Remove activity id from the response of the metadata activity endpoint,XXX-33044,209273,Done,XXX,ANIC P&C Migration,Medium,David,Integrations,,Requirements
Prod| GL Paid Loss - 2 records errored out on 07/22,BBB-7919,209272,New Item,BBB,EDW Production Operations,Medium,Martin,,,Coding
UAT1- IM 7025 Duplicate coverages on Supplemental Coverages screen. ,XXX-33042,209269,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Requirements
UAT1 - checkboxes for covered property not available for Flood Coverage (CO 1063),XXX-33041,209268,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
QA : ODS-DetailCoverage Table- AU : STFreeform Flow : UARType and UARNumber populated incorrect values,AAA-5226,209267,Done,AAA,AAA,Medium,Peter,,,Coding
3.1 P&C | ODS Detail Coverage Table - RiskPC Id and PCLocationId holds Null values,AAA-5224,209264,New Item,AAA,AAA,Medium,Martin,,,Coding
3.1 P&C | ODS Detail Coverage Table - Crime - NULL values populated in ExposureStateCode,AAA-5223,209263,Done,AAA,AAA,Medium,Williams,,,Coding
Stab3_PC Config_COP_NB_Default value for for (Equipment Breakdown Coverage Applies?) field is currently coming wrong on Commercial Output Program screen (Details & Coverages Tab),XXX-33039,209259,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STRegPlates - The column CoverageEffectiveDate is Incorrectly populated,AAA-5221,209250,Done,AAA,AAA,Medium,Williams,,,Coding
Stab 3_CC_AllLoBs_Activities_Automated activities due date and escalated dates are incorrect,XXX-33033,209249,Ready for QA,XXX,ANIC P&C Migration,High,John,ClaimCenter,,Coding
GWPC: LandingtoStage GWPC Job got failed as the table UAREnterpriseHazardGradeRestatement is not removed from TechnicalMetadata,BBB-7917,209248,Done,BBB,EDW Production Operations,Medium,Williams,Data Model,,Coding
Stab3_BC MEL Lob_ Enterprise Billing Account issue,XXX-33018,209233,To Do,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
Stab3_Rating_General Liability_Policy Change_Incorrect Basis Amount is displayed in the Quote screen for Cyber Suite Extended Reporting Period,XXX-32968,209178,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,Rating,,Coding
Stab 3_CC_All Lobs_Catastrophe_ 'Review for Catastrophe' activity is not generated.,XXX-32967,209177,Cancelled,XXX,ANIC P&C Migration,High,Williams,ClaimCenter,,Coding
Stab3_BC QA06env MEL Lob_ Roll Deposits Pre-Renewal Scenario issue,XXX-32966,209173,To Do,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
Stab3_PC_MEL_FinalAudit - Show rating worksheet button is missing and covered type column is coming - IL state,XXX-32965,209165,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Stab3_PC_MEL_NB- Illinois Schedule Of Fees Endorsement form number is not correct in quote packet - IL state,XXX-32964,209163,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STTrailer - Records got dropped,AAA-5210,209162,Done,AAA,AAA,Medium,Williams,,,Coding
"Stab3_Rating_Commercial Package_New Business_""Government crime Schedule Mod"" got applied at routine level instead of ""CR7ApplyModifiers_PC_Ext""",XXX-32963,209160,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
3.1 P&C | ODS Detail Coverage Table - AUTO - STTrailer - Additional records loaded,AAA-5209,209159,Invalid/Duplicate,AAA,AAA,Medium,Williams,,,Coding
Stab3_PC_CU_PUC Filing indicator field is not applicable for Umbrella LoB,XXX-32962,209158,Done,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
Stab3_PC_MEL _Existing Invoice stream should only present for a policy in Renewing status,XXX-32961,209157,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Stab3_PC Config_CA7 Policy Review: Even if Composite Rating = No Composite Auto Section is displayed under Policy Review.,XXX-32960,209156,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
"Stab3_Rating_Commercial Package_New Business_""CR7SaveandZeroOutModifiers_Ext"" not applied to ""Government fidelity Schedule Mod"" applicable coverages leading to Schedule Mod applied twice to Term Amount",XXX-32959,209155,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab3_CA7 PC Config_Covered Auto Designation Symbol Coverage: Description Of Covered Auto Designation Symbol CovTerms should be mandatory if corresponding Symbol Value is selected as Yes,XXX-32958,209154,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_PC Config_CA7 Large Deductible: There is no validation w.r.t. Minimum & Maximum value of ‘Deductible Credit Factor’ & ‘Loss Adjustment Fee Factor (%)’,XXX-32957,209153,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_PC Config_CA7 Manuscripts: Column Header for Manuscript Premiums aren’t displayed correctly under Policy Review. ‘Transaction Description’ should be displayed instead of ‘Form Title’.,XXX-32956,209152,Done,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
Prod| AAA-DL-PAS- AL Premium Balancing Hist_or_Incv2.0 balance check failed on 07/21,BBB-7916,209129,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
CDA PROD | 5PM CC Raw Zone job failed on 07/20 with OperationalError: ('HYT00' '[HYT00] [Microsoft][ODBC Driver 17 for SQL Server]Login timeout expired,BBB-7915,209128,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab3_PC_CP_NewSubmission_ Few UWI requires user has to click approve multiple times to approve it,XXX-32955,209126,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Not a Defect
"Stab3_PC_CP_NewSubmission_Both CP 1136 CP & CP 1139 CP triggered when ""Actual loss Sustained"" coverage selected at BI level with 'Standard' limit",XXX-32954,209125,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
PROD | GWPC UARNumber has ? for the policyNumber - WC1009607,BBB-7913,209124,Done,BBB,EDW Production Operations,Medium,David,,,Coding
UAT1 - Umbrella - Maritime EL on Underlying Work Comp Cannot be Removed from Schedule of Underlying,XXX-32953,209123,Blocked,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
Risk Managed indicator not displayed in the Account Summary ,EEE-1769,209122,To Do,EEE,PolicyCenter,Medium,Williams,,,Coding
UAT1 - Umbrella - Refreshing Underlying Policies Not Working,XXX-32952,209121,Done,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
UAT1 - Crime Dec form numbers are incorrectly formatted,XXX-32951,209119,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
UAT1 - Umbrella - Final Audit Indicator is Hardcoded to No & Not Passing in Payload,XXX-32950,209118,In UAT,XXX,ANIC P&C Migration,Very High,Peter,Forms Mapping,,Coding
UAT1 - IM 7062 08 20 not inferring on Reporting Form coverage part,XXX-32949,209103,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab 3_CC_All Lobs_System Checks_Memo Text area is not populated with the coverage selected in checks.,XXX-32948,209102,Ready for QA,XXX,ANIC P&C Migration,High,Williams,ClaimCenter,,Coding
Stab3_PC_CP_NewSubmission_IL 02 84 ILLINOIS CHANGES - CANCELLATION AND NONRENEWAL should not be inferred,XXX-32945,209099,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
PROD| GL Paid Loss- 40 records and GL Written Premium- 36 records got errored out|19/07,BBB-7908,209093,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
[Blocked_CR change]Stab3_PC_CP_NewSubmission_PN1820405 form triggered when  inference condition is not satisfied for AK,XXX-32944,209089,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_PC_Config_CP_Deductible by location is not displayed under buliding condition screen,XXX-32941,209086,Done,XXX,ANIC P&C Migration,Medium,John,PolicyCenter,,Coding
Stab3_PC_Config_CP_FungusWet Rot Dry Rot and Bacteria field is not displayed in line screen is not displayed ,XXX-32940,209085,Done,XXX,ANIC P&C Migration,Medium,John,PolicyCenter,,Coding
LTI - Unable to process renewal due to Assigned Risk indicator on CA voluntary policy,EEE-1768,209081,Requirements,EEE,PolicyCenter,High,Williams,,,Coding
UAT1 - IM 7237 Interruption of Web Site Schedule requirements not in IM forms inventory,XXX-32939,209080,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_Digital_CE_Hide P&C Policies from the COI dropdown.,XXX-33289,209077,Done,XXX,ANIC P&C Migration,Medium,Williams,Digital,,Requirements
UAT1 - EDP - Foreign Transit and Location Coverage should be required,XXX-32938,209075,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Requirements
3.1 P&C | ODS Detail Coverage Table - Auto - STGarageK - The column PremiumAmount is Incorrectly populated,AAA-5152,209050,Done,AAA,AAA,High,Williams,,,Coding
PROD | GWPC Stage to EDW Failed due to balance Issue on 18/07,BBB-7904,209045,Done,BBB,EDW Production Operations,Medium,David,,,Coding
Stab3_PC_Monoline GL & CPP-GL Modifiers: Getting Invalid Quote with Policy Level Modifiers added in Pricing tool for Monoline GL & CPP-GL,XXX-32937,209044,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
Stab3_PC_CA7 Manuscripts: Manuscript Form No is incorrect for Commercial Auto. It is coming as ANIC CA037. The New Form No is CA 037 CP with Edition as 03 24,XXX-32936,209043,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
QA : ODS-DetailCoverageAuto : CoverageEffectivedate column populated incorrect Dates in COMPSTGRP,AAA-5151,209042,Done,AAA,AAA,Very High,Peter,,,Coding
Stab3_Digital_CE_Autopay amount should display based on the invoice stream.,XXX-32935,209040,Ready for QA,XXX,ANIC P&C Migration,High,Williams,Digital,,Coding
3.1 P&C | ODS Detail Coverage Table - AU - STGarageK - The column CoverageExpirationDate is Incorrectly populated,AAA-5149,209039,Done,AAA,AAA,Very High,Williams,,,Coding
production back up table cleanup,BBB-7903,209038,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
QA : ODS-DetailCoverageCrime : CoverageEffectivedate column populated incorrect Dates,AAA-5148,209037,Done,AAA,AAA,Very High,Peter,,,Coding
Stab3_PC_CP_NewSubmission_ANIC CP037 Endorsement triggered instead of CP 037 CP 	Property Manuscript Endorsement when manuscript added at line or building or special class level when Reason for Form = Manuscript.,XXX-32934,209030,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
DataFix - EDW - NON CPIC issuancecompany NCCIStandardEarnedPremiumatDSRLevel is incorrect,BBB-7902,209023,Blocked,BBB,EDW Production Operations,Medium,Martin,,,Coding
PROD | Job 'ClaimSeverity PBA-EDW Daily Load' failed due to EDW Login Timoeout | 07/19,BBB-7901,209022,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
PE: Email Notifications sent to wrong Producer,GGG-1366,209021,To Do,GGG,GW Cloud Digital,Medium,Williams,,,Coding
UAT1 - Inland Marine- CE Equipment - IM 1219 CP duplicate inference,XXX-32933,209018,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
STP - Update to ClassCodeEligibility & NAICSSTPEligibility Tables In PBAPRD,BBB-7899,209011,Done,BBB,EDW Production Operations,Very High,Williams,,,Coding
UW and AU Participants on Renewals not generated until after quote,EEE-1760,209009,Cancelled,EEE,PolicyCenter,High,Williams,,,Coding
Claim 1000xxx44 - Overstated by 2054.80 - Need To Pull In Correct Financials,BBB-7898,209007,In UAT,BBB,EDW Production Operations,High,Williams,,,Coding
LTI - Participants on Renewals are not being assigned correctly,EEE-1759,209006,To Do,EEE,PolicyCenter,High,Williams,PolicyCenter,,Coding
GW Ticket # GW#00774331 - For CP 10 40 or CP 10 45 the building is sprinklered EQ cause of loss coverage = Yes & EQSL only = Yes then only Building deductible should be applicable. ,XXX-32930,209005,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
LTI - Renewals created with WOS selected but should not,EEE-1758,209004,In Dev,EEE,PolicyCenter,Very High,Peter,,,Coding
GW Ticket # GW#00789934 - Commercial Property - For CP 10 29 or CP 10 45 When Earthquake sublimit blanket applies then for Business Income and Special class BI the error message shows up and cannot be quoted. ,XXX-32929,209002,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab3_PC_CU_Copy submission_Generated Policy Number is not getting copied,XXX-32928,209001,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_PC_CP_NewSubmission_CP 01 42 Texas Changes & CP 02 02 Texas Changes - Cancellation And Nonrenewal form triggered when TX is not a base state & added as a Risk/location,XXX-32927,209000,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
LTI - Participant Update Script,EEE-1757,208998,In UAT,EEE,PolicyCenter,Very High,Peter,PolicyCenter,,Coding
UAT1 - Forms CU 24 09 Contractual Liab RR - the list of scheduled items are out of order when inferred from underlying policy for UMB,XXX-32926,208996,To Do,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
ODS | Inland | ODS_DetailCoverage | Few records are not loaded into Detail Coverage Table,AAA-5134,208994,Done,AAA,AAA,Very High,Martin,Stage to AAA,,Coding
ODS Detail Coverage Inland Table - IA - Premium Amount Values are incorrect,AAA-5132,208990,Done,AAA,AAA,High,Martin,Stage to AAA,,Coding
Stab3_PC_CU_Additional insured coverage- Coverage term placement is not correct_DBDrop,XXX-32925,208987,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_PC_CU_Policy Change- Base state should be not editable,XXX-32924,208985,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_PC_CU_Payment screen- Deferral Until Final Audit field should not be available ,XXX-32923,208982,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
AAA 3.1 | GL | ODS-DetailCoverage : PremiumAmount column populated incorrect amounts,AAA-5128,208976,In Test,AAA,AAA,High,David,,,Coding
Stab3_Digital_PE-My Profile is not displaying any Notification Enrollment options,XXX-32922,208970,Done,XXX,ANIC P&C Migration,Medium,Williams,Digital,,Data
PROD| GL Paid Loss- 08 records got errored out|07/18,BBB-7894,208969,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
